Date,Num_Coins
11/22/19,18061850
11/21/19,18060125
11/20/19,18057250
11/19/19,18056975
11/18/19,18054762.5
11/17/19,18051725
11/16/19,18051425
11/15/19,18049462.5
11/14/19,18046200
11/13/19,18045212.5
11/12/19,18043525
11/11/19,18040700
11/10/19,18040012.5
11/9/19,18038200
11/8/19,18035187.5
11/7/19,18034475
11/6/19,18032825
11/5/19,18031475
11/4/19,18029675
11/3/19,18027662.5
11/2/19,18025975
11/1/19,18024137.5
10/31/19,18022700
10/30/19,18021037.5
10/29/19,18018612.5
10/28/19,18017687.5
10/27/19,18016250
10/26/19,18014500
10/25/19,18013112.5
10/24/19,18011112.5
10/23/19,18009475
10/22/19,18007587.5
10/21/19,18005362.5
10/20/19,18002062.5
10/19/19,18001762.5
10/18/19,17999762.5
10/17/19,17996500
10/16/19,17996087.5
10/15/19,17994187.5
10/14/19,17990962.5
10/13/19,17990725
10/12/19,17988612.5
10/11/19,17985425
10/10/19,17985087.5
10/9/19,17982912.5
10/8/19,17979900
10/7/19,17979387.5
10/6/19,17977550
10/5/19,17974362.5
10/4/19,17973712.5
10/3/19,17971875
10/2/19,17968850
10/1/19,17968237.5
9/30/19,17966175
9/29/19,17963312.5
9/28/19,17962925
9/27/19,17960850
9/26/19,17957787.5
9/25/19,17957212.5
9/24/19,17955250
9/23/19,17952225
9/22/19,17951737.5
9/21/19,17949650
9/20/19,17946712.5
9/19/19,17945937.5
9/18/19,17943737.5
9/17/19,17941187.5
9/16/19,17939862.5
9/15/19,17938025
9/14/19,17935650
9/13/19,17934200
9/12/19,17932225
9/11/19,17930150
9/10/19,17928087.5
9/9/19,17924625
9/8/19,17924062.5
9/7/19,17921750
9/6/19,17919100
9/5/19,17917712.5
9/4/19,17915562.5
9/3/19,17913587.5
9/2/19,17912125
9/1/19,17910300
8/31/19,17908037.5
8/30/19,17906237.5
8/29/19,17902500
8/28/19,17902275
8/27/19,17900162.5
8/26/19,17898437.5
8/25/19,17896987.5
8/24/19,17894950
8/23/19,17891450
8/22/19,17891262.5
8/21/19,17889137.5
